Word,Value,SD,IQR,min_value,max_value,num_raters
happen,49.5964912280702,26.1771844832226,34,0,100,57
hear,46.6315789473684,29.970003800793,55,0,100,57
help,35.8571428571429,23.8483302799768,37.25,0,82,56
hide,17.8372093023256,16.0770914103595,23.5,0,63,43
hit,9.88461538461539,13.0694282488229,15.25,0,51,52
hold,18.1153846153846,18.6554453451436,28.5,0,65,52
hope,91.9272727272727,10.5230866923804,15.5,63,100,55
hurt,42.195652173913,24.6167238231947,27,0,91,46
identify,79.9302325581395,20.0183194062187,29.5,29,100,43
ignore,78.0454545454545,18.0734348873089,31.25,42,100,44
imagine,93.2790697674419,9.39180387712846,13.5,66,100,43
improve,63.5813953488372,17.7646419262689,30,26,92,43
include,65.2363636363636,21.7825649242722,31.5,17,100,55
increase,51.8421052631579,28.1892770099885,43,0,100,57
indicate,60.7272727272727,24.4020239690144,30.5,10,100,44
insist,71.3409090909091,20.1931869489275,28.5,23,100,44
introduce,39.1086956521739,28.0857640972706,44.75,0,92,46
involve,63.1052631578947,24.190969544828,34,16,100,57
join,45.3859649122807,27.3755328623709,40,0,100,57
jump,8.3953488372093,15.9614707743421,6.5,0,61,43
keep,35.9272727272727,23.2823685837306,31.5,0,85,55
kill,10.4615384615385,14.3778990781147,19,0,57,52
know,92.8909090909091,11.2771035276379,11,58,100,55
laugh,31.4772727272727,27.7107053751615,46,0,90,44
lay,9.24390243902439,12.7999618901872,13,0,55,41
lead,51.2631578947368,29.9776859369655,42,0,100,57
learn,85.4909090909091,14.0684473955448,23,50,100,55
leave,18.9814814814815,17.3689060069139,31.5,0,60,54
let,54.4210526315789,27.4486191224499,36,0,100,57
lie,74.7727272727273,20.5617206278975,32.25,30,100,44
lift,10.3255813953488,14.3140306297079,15,0,55,43
listen,59.3684210526316,30.8722202791183,38,0,100,57
live,43.6363636363636,23.6144679728995,36,0,95,55
look,33.4528301886792,25.7850329557343,37,0,95,53
lose,44.8181818181818,22.7238583293801,31,0,86,55
love,77.3518518518518,19.5053523446988,32,33,100,54
maintain,49.8478260869565,25.4322344815519,36.25,0,95,46
make,18.2075471698113,16.6379530113048,25,0,61,53
manage,55.1555555555556,20.4394399891657,28,15,93,45
marry,34.0232558139535,22.833234312013,34,0,87,43
mean,80.3962264150943,18.5662427567237,30,38,100,53
meet,30.3018867924528,23.6956543449024,33,0,83,53
mention,52.2826086956522,34.215437090087,62,0,100,46
might,61.0357142857143,24.714342016301,31.5,10,100,56
move,11.0754716981132,14.1772421325433,17,0,45,53
need,79.5636363636364,17.94205037662,26.5,38,100,55
notice,71.2045454545455,25.686463311694,42,13,100,44
observe,63.7777777777778,25.3035111549302,33,15,100,45
occur,46.3478260869565,31.5631412260879,58.5,0,100,46
offer,53.3333333333333,30.2054473169832,45,0,100,57
open,31.5555555555556,21.3503273508258,30.75,0,83,54
operate,25.6666666666667,23.0661105205332,34,0,76,45
pass,35.1964285714286,26.0205650437266,37,0,90,56
pay,22.188679245283,22.1446786486693,32,0,76,53
perform,25.3255813953488,19.0534597911003,26,0,67,43
pick,36.9636363636364,28.0554765475435,45,0,90,55
play,26.2142857142857,21.7946734824771,35,0,71,56
prepare,54.7857142857143,17.8537906261179,14.25,11,90,42
prevent,46.0434782608696,24.8863697827984,38.75,0,90,46
produce,38.6545454545455,24.5878758001507,30.5,0,93,55
promote,48.3260869565217,25.1334698031893,38.75,0,93,46
protect,28.4418604651163,18.4007017536747,35,0,74,43
prove,66.2222222222222,21.6005985700827,30,20,100,45
provide,37.2962962962963,25.5155369830461,31,0,97,54
publish,27.7777777777778,24.3617517739376,48,0,79,45
pull,13.4615384615385,16.4250663752042,23.25,0,67,52
push,12.6666666666667,13.8188042027339,19.75,0,51,42
put,15.2452830188679,17.5826681054617,26,0,66,53
raise,30.1481481481481,25.3447232477678,39.25,0,83,54
reach,23.6981132075472,19.4210283591111,25,0,76,53
read,62.9444444444444,25.7406635696574,34.25,8,100,54
realize,88.4909090909091,14.8484601112966,18,52,100,55
recall,76.6,22.5906255698324,36,25,100,45
receive,34.7222222222222,25.8781007925414,37.75,0,96,54
recognize,84.1860465116279,18.2694851153156,24,35,100,43
reduce,41.7333333333333,23.1383192600893,26,0,87,45
refer,67.2380952380952,21.7163639814789,30.25,15,100,42
reflect,84.2727272727273,15.0909855063146,22,50,100,44
refuse,52.6304347826087,27.0327856053449,42.5,0,100,46
relate,82.1428571428571,15.9474310624404,19.25,29,100,42
release,39.1521739130435,22.1188380157974,28,0,82,46
remain,40,25.9425939685719,28.75,0,94,56
remember,92.8518518518518,10.2835413608851,10,64,100,54
remove,23.4883720930233,19.6012294233262,29.5,0,72,43
replace,33.3181818181818,21.660995625803,28.5,0,75,44
represent,65.4761904761905,21.9692002754611,33.5,21,100,42
require,75.2307692307692,18.263448318834,30.25,33,100,52
respond,49.0434782608696,26.4103990644587,37.75,0,100,46
return,30.1090909090909,21.9803554779268,20.5,0,80,55
reveal,38.3023255813954,21.3357902793371,26.5,0,92,43
rise,28.2954545454545,25.4188901972205,37,0,87,44
roll,9.18604651162791,11.531026084838,15,0,45,43
run,7.19230769230769,13.1641796532365,8.5,0,59,52
save,42.5333333333333,22.1642627997086,25,0,89,45
say,38.7543859649123,33.2357814398849,50,0,100,57
see,41.6666666666667,30.1249382532463,44,0,100,57
seek,50.4385964912281,28.5751000147354,39,0,100,57
seem,78.1481481481482,20.1545045364483,34,27,100,54
sell,27.6603773584906,22.40359122674,30,0,79,53
send,22.6415094339623,18.2789226450141,34,0,61,53
serve,33.0185185185185,22.7376263183735,33,0,87,54
set,28.7857142857143,20.9386239764215,33.75,0,74,56
settle,55.2,23.511699215497,34,7,95,45
shake,7.5952380952381,11.2033521198977,10.75,0,54,42
share,38.1304347826087,23.4971475296255,31.5,0,83,46
shoot,6.47619047619048,9.38405002595698,7,0,42,42
show,33.0909090909091,26.2743874208978,39.5,0,92,55
sign,16.4761904761905,15.8779461951938,23.75,0,54,42
sing,14.2558139534884,19.541278682215,23,0,65,43
sit,8.03921568627451,13.0153152621267,12,0,56,51
sleep,30.1333333333333,25.5366047433519,47,0,79,45
sound,48.7826086956522,31.0976333815351,46.25,0,100,46
speak,34.3928571428571,26.3374455663612,40.5,0,89,56
spend,35.1272727272727,25.5966248827303,33,0,86,55
spread,22.1590909090909,18.8259385408811,26.25,0,68,44
stand,14.9811320754717,17.4151686381085,27,0,63,53
stare,28.8666666666667,26.5369382353935,46,0,81,45
start,37.0727272727273,21.5663099278881,30.5,0,76,55
stay,31.1666666666667,24.1682389425648,40,0,85,54
step,11.4651162790698,15.9483524111118,15.5,0,57,43
stick,27.1111111111111,24.9455973727395,44,0,81,45
stop,34.9259259259259,24.3557376540653,37.5,0,84,54
strike,12.8292682926829,15.601125662952,23,0,65,41
suffer,64.9111111111111,22.043162434211,35,23,100,45
suggest,72.8867924528302,23.4968577091937,25,11,100,53
survive,41.8444444444444,22.8761045988202,25,0,83,45
take,19.8490566037736,18.9070563002029,26,0,71,53
talk,38.5789473684211,31.3077736629311,48,0,100,57
teach,57.3508771929825,29.7534459157196,46,0,100,57
tell,43.3333333333333,33.1777320617595,60,0,100,57
tend,51.695652173913,27.2705535658417,39.75,0,100,46
thank,66.5185185185185,23.7079245892558,35.75,11,100,54
think,92.2222222222222,13.7177294268742,9.5,50,100,54
throw,10.6981132075472,13.1464895952967,15,0,52,53
touch,10.0243902439024,16.4293758324503,16,0,65,41
travel,7.42857142857143,11.8365759245115,9.5,0,50,42
treat,37.2222222222222,24.9270653278437,35,0,90,45
try,53.9821428571429,24.3104848846064,32.25,5,100,56
turn,19.3333333333333,18.2932093803674,28.5,0,67,54
understand,93.7777777777778,8.86090984439184,9.5,70,100,54
use,28.1296296296296,22.7264672368537,35.5,0,80,54
visit,14.0714285714286,14.9101256429949,22,0,56,42
vote,20.2790697674419,21.1933565302626,34,0,68,43
wait,48.6491228070175,28.9429804147434,45,0,100,57
walk,8.69230769230769,11.9386314148788,12.5,0,39,52
want,85.6415094339623,15.7346926097699,24,40,100,53
watch,44.9649122807018,29.1645362630472,48,0,100,57
wear,19.6481481481481,20.43042256825,34,0,74,54
win,52.7894736842105,28.308717008134,38,0,100,57
wish,87.7209302325581,17.0661536121665,20.5,41,100,43
wonder,91.9761904761905,12.3614035339312,12.25,50,100,42
work,34.2678571428571,21.4081471929209,36.25,0,70,56
worry,90.4651162790698,12.6101788764347,15.5,50,100,43
write,27.1454545454545,26.89307922938,50,0,80,55
